brake,freno
child's buggy,cochecito de niño
lift,levantar
relieved,aliviado
thrilled,emocionado
underneath,debajo
pedestrians,peatones
drag,arrastrar
shore,costa
brief,breve
struggle,difícil
awkward,incómodo
upset,decepcionado
bearer,portador
bowed,encorvado:inclinó
amidst,en medio de
drawers,cajones
blunder,torpeza
stalk,tallo:acechar
tad,un poco
anew,de nuevo
yell,gritar
concerned,preocupado
fend for,arreglárselas
fend off,defenderse:ahuyentar:esquivar
akin to,parecido a
cast,lanzar:elenco
wrap,envolver
wryly,irónicamente
gaze,mirada:mirar fijamente
survey,medir:sondeo
surroundings,entorno:alrededores
beneath,debajo de
ensue,ocurrir
acquaintance,conocido
skin in,entenderse:captarse
craftsmanship,artesanía
knave,granuja
dust,polvo
slam,cerrar de golpe
grip,agarrar
utterly,completamente
baffled,desconcertado
sew,coser
garment,ropa
sternly,duramente
seam,costura
neddle,aguja
whisk,llevar rapidamente
blazer,chaqueta
tie,corbata
scoundrel,sin verguenza
chic,elegante
currency,moneda
engrave,grabar
sturdy,robusto
lodge,alojarse:atascarse
shut,cerrar:cerrado
loaf,barra de pan:holgazanear
whip,látigo:azotar
comrade,camarada
shiver,tiritar:escalofrío
hollow,hueco:vacío
betray,traicionar
burden,carga
alley,callejón
neat,limpio:arreglado
antler,asta:cuerno
snarl,gruñir:gruñido
scowl,ceño fruncido
flabbergasted,atónito
shatter,destrozarse
bolster,dar apoyo a
dupe,engañar a:timar a
wrap up,envolver
rug,alfombra
wimp,flojo:débil
drowsiness,sueño
sluggish,perezoso
crawl,trepar
crawl out of,salir de
gist,esencia:clave
upon,en cuanto a:sobre
breach,infracción
sum up,resumir
swift,veloz
clerk,recepcionista
beeline,línea recta
make a beeline for,ir directamente a
aid,ayuda:ayudar
ceiling,techo
scabbard,funda
slim,esbelto:delgado
filthy,sucio
overwhelmed,abrumado
